U2414Hb,Category,Manufacturer,Model_Name,Warranty,Supplier,Purchase_Cost,Note
DH-IPC-HFW1230SP-S4,Camera,Dahua,Camera IP thân trụ 2.0MP DH-IPC-HFW1230SP-S4,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HDW1230SP-L,Camera,Dahua,Camera IP dome 2.0MP DH-IPC-HDW1230SP-L,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HDW2231TP-AS-S2,Camera,Dahua,Camera IP thân trụ 2.0MP DH-IPC-HDW2231TP-AS-S2,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HDW1230SP-S4,Camera,Dahua,Camera IP dome 2.0MP DH-IPC-HDW1230SP-S4,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HFW1230SP-S3,Camera,Dahua,Camera IP thân trụ 2.0MP DH-IPC-HFW1230SP-S3,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HDW1430SP,Camera,Dahua,Camera IP dome 4.0MP DH-IPC-HDW1430SP,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HDW1230SP-S3,Camera,Dahua,Camera IP dome 2.0MP DH-IPC-HDW1230SP-S3,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HDW1230TLTT-S4,Camera,Dahua,Camera IP dome 2.0MP DH-IPC-HDW1230TLTT-S4,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HDW2431TP-AS-S2,Camera,Dahua,Camera IP dome 4.0MP DH-IPC-HDW2431TP-AS-S2,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HFW1230MP-S-I2,Camera,Dahua,Camera IP thân trụ 2.0MP DH-IPC-HFW1230MP-S-I2,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
IPC-HFW1230M-S-I2,Camera,Dahua,Camera IP thân trụ 2.0MP IPC-HFW1230M-S-I2,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HDW2230TP-AS-S2,Camera,Dahua,Camera IP dome 2.0MP DH-IPC-HDW2230TP-AS-S2,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HFW1230TLTT-S4,Camera,Dahua,Camera IP thân trụ 2.0MP DH-IPC-HFW1230TLTT-S4,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HFW1230SP-S5,Camera,Dahua,Camera IP thân trụ 2.0MP DH-IPC-HFW1230SP-S5,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HDW1230SP-S5,Camera,Dahua,Camera IP dome 2.0MP DH-IPC-HDW1230SP-S5,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DHI-NVR5232-4KS2,Network Video Recoder,Dahua,Đầu ghi hình IP 32 kênh DHI-NVR5232-4KS2,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DHI-NVR5232-TLTT-S2,Network Video Recoder,Dahua,Đầu ghi hình IP 32 kênh DHI-NVR5232-TLTT-S2,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DHI-NVR4216-4KS2/L,Network Video Recoder,Dahua,Đầu ghi hình IP 16 kênh DHI-NVR4216-4KS2/L,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
WD40PURZ,HDD,Western Digital,HDD 4TB WD40PURZ,36,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
WD82PURZ,HDD,Western Digital,HDD 8TB WD82PURZ,36,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
PFS3009-8ET-96,Switch,Dahua,Switch POE 8 Port PFS3009-8ET-96,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
PFS4218-16ET-190,Switch,Dahua,Switch POE 16 Port PFS4218-16ET-190,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
0023MW6,Wifi,Tenda,Wifi Mesh Nova MW6,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
UAP-AC-LR,Wifi,Ubiquiti,Unifi UAP-AC-LR,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
UAP-AC-Pro,Wifi,Ubiquiti,Unifi UAP-AC-Pro,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
UAP-nanoHD,Wifi,Ubiquiti,Unifi UAP-nanoHD,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
EAP245(US),Wifi,TP-Link,Omada EAP245(US) v3.0,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
Vigor2915,Router,Draytek,Vigor 2915 Dual-WAN VPN,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
Vigor2925,Router,Draytek,Vigor 2925 Dual-WAN VPN,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
Vigor2960,Router,Draytek,Vigor 2960 Dual-WAN VPN,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
RB750Gr3,Router,Mikrotik,RouterBOARD hEX RB750Gr3,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
RB1100AHx4,Router,Mikrotik,RouterBOARD RB1100AHx4,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,HO
PFS3024-24GT,Switch,Dahua,Switch 24 port PFS3024-24GT,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
KX-CSW16,Switch,Kbvision,Switch 16 port KX-CSW16,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
32HD958E,TV,Darling,Internet TV 32 Inch 32HD958E,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
X9,Android Box,Vinabox,Android TV Box X9,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
X96H,Android Box,SeeNew,Android TV Box X96H,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
QCTTV,Marketing,Tlink,Bảng điện chiếu QC Thẻ thành viên,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
PC-2852,Speaker,TOA,15W PC-2852,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
PC-658R,Speaker,TOA,6W PC-658R,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
101,Speaker,Bose,101,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
ABS-500U,Amplifier,Abspa,ABS-500U,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
PA 1207A,Amplifier,Nanomax,PA 1207A,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
